project;watchers;stargazers;subscribers;forks;is_forked
circe/circe-derivation;103;103;7;21;false
lightbend/scala-sculpt;101;101;13;15;false
lightbend/scala-sculpt;101;101;13;15;false
lightbend/scala-sculpt;101;101;13;15;false
jeremyrsmith/circe-yaml;100;100;5;32;false
jeremyrsmith/circe-yaml;100;100;5;32;false
circe/circe-yaml;100;100;5;32;false
circe/circe-yaml;100;100;5;32;false
circe/circe-yaml;100;100;5;32;false
scodec/scodec-bits;98;98;6;56;false
alexarchambault/argonaut-shapeless;97;97;7;24;false
alexarchambault/argonaut-shapeless;97;97;7;24;false
alonsodomin/cron4s;96;96;1;14;false
alonsodomin/cron4s;96;96;1;14;false
alonsodomin/cron4s;96;96;1;14;false
TimWSpence/cats-stm;94;94;5;8;false
TimWSpence/cats-stm;94;94;5;8;false
ChristopherDavenport/linebacker;92;92;6;7;false
ChristopherDavenport/linebacker;92;92;6;7;false
ChristopherDavenport/linebacker;92;92;6;7;false
plokhotnyuk/rtree2d;91;91;11;8;false
sizmek-public/rtree2d;91;91;11;8;false
sizmek-public/rtree2d;91;91;11;8;false
Sizmek/rtree2d;91;91;11;8;false
sizmek/rtree2d;91;91;11;8;false
Sizmek/rtree2d;91;91;11;8;false
sizmek/rtree2d;91;91;11;8;false
plokhotnyuk/rtree2d;91;91;11;8;false
Sizmek/rtree2d;91;91;11;8;false
mwz/sonar-scala;91;91;9;26;false
circe/circe-config;91;91;3;12;false
circe/circe-config;91;91;3;12;false
sizmek-public/rtree2d;91;91;11;8;false
mwz/sonar-scala;91;91;9;26;false
circe/circe-config;91;91;3;12;false
sizmek/rtree2d;91;91;11;8;false
plokhotnyuk/rtree2d;91;91;11;8;false
ccadllc/cedi-config;90;90;8;9;false
ccadllc/cedi-config;90;90;8;9;false
scalaz/scalaz-nio;89;89;19;28;false
scalaz/scalaz-nio;89;89;19;28;false
scalaz/scalaz-nio;89;89;19;28;false
playframework/scalatestplus-play;88;88;9;55;false
playframework/scalatestplus-play;88;88;9;55;false
playframework/play-socket.io;87;87;12;29;false
playframework/play-socket.io;87;87;12;29;false
alexarchambault/ammonite-spark;86;86;8;13;false
alexarchambault/ammonite-spark;86;86;8;13;false
ua-parser/uap-scala;86;86;10;47;false
ua-parser/uap-scala;86;86;10;47;false
fthomas/fs2-cron;85;85;5;11;false
fthomas/fs2-cron;85;85;5;11;false
fthomas/fs2-cron;85;85;5;11;false
finagle/finagle-oauth2;84;84;10;23;false
finagle/finagle-oauth2;84;84;10;23;false
finagle/finagle-oauth2;84;84;10;23;false
scala/scala-collection-contrib;83;83;9;22;false
scala/scala-collection-contrib;83;83;9;22;false
scala/make-release-notes;83;83;31;85;false
scala/make-release-notes;83;83;31;85;false
scala/make-release-notes;83;83;31;85;false
ChristopherDavenport/cormorant;82;82;6;14;false
ChristopherDavenport/cormorant;82;82;6;14;false
ChristopherDavenport/cormorant;82;82;6;14;false
scalameta/metabrowse;80;80;7;19;false
scalameta/mbrowse;80;80;7;19;false
scalameta/metabrowse;80;80;7;19;false
scalameta/mbrowse;80;80;7;19;false
vpavkin/circe-magnolia;78;78;3;10;false
